7100000100 (nn::ro::detail::InitializeSelfModule)
7100000300 (nn::ro::detail::Initialize)
71000006e0 (nn::ro::detail::RoModule::Initialize)

7100000aa0 (nn::ro::detail::FindModuleHeader<nn::svc::aarch64::lp64::QueryMemory>)

7100000cc0 (nn::ro::detail::RoModule::FixRelativeRelocations)
7100000e30 (nn::ro::detail::Unexpected)
7100000e70 (nn::ro::detail::RoModule::LookupSymbol)
7100001050 (nn::ro::detail::LookupSymbol)
71000010e0 (nn::ro::detail::InitializeModules)
7100001150 (nn::ro::detail::FinalizeModules)
71000011a0 (nn::ro::detail::GetSetUserExceptionHandlerReady)
71000011b0 (nn::ro::detail::GetInitializeModules)
71000011c0 (nn::ro::detail::GetFinalizeModules)
71000011d0 (nn::ro::detail::RoModule::BindJumpSlot)
7100001360 (nn::ro::detail::Puts)
7100001390 (nn::ro::detail::RoModule::InitializeSelfError)
71000013a0 (nn::ro::detail::RoModule::InitializeError)
71000013b0 (nn::ro::detail::RoModule::Relocate)

71000017c0 (nn::ro::detail::GetRocrtVersion)
7100000000 (__rocrt_init)

7100001834 (nn::ro::BindEntry)
71000018a8 (nn::ro::detail::SetUserExceptionHandlerReady)

71000018d0 (__nnmusl_init_dso)
71000018e0 (nn::rocrt::detail::ProtectRelro)
71000019f0 (FUN_71000019f0)
7100001a00 (_init)
7100001b70 (CallFunction)
7100001bb0 (_fini)
7100001c20 (CallFunction)
7100001c60 (CallFinalize)

7100001d18 (nn::svc::aarch64::lp64::SetMemoryPermission)
7100001d20 (nn::svc::aarch64::lp64::SetMemoryAttribute)
7100001d28 (nn::svc::aarch64::lp64::QueryMemory)
7100001d40 (nn::svc::aarch64::lp64::Break)
7100001d48 (nn::svc::aarch64::lp64::OutputDebugString)
7100001d50 (nn::svc::aarch64::lp64::ReturnFromException)

7100001d60 (memcpy)
7100001d70 (memset)
7100001e40 (strlen)
7100001f80 (__memcpy_aarch64)
71000021c0 (strcmp)
