Address,Quality,Size,Name
0x0000007100000000,O,000196,__rocrt_init
0x0000007100000100,M,000504,_ZN2nn2ro6detail20InitializeSelfModuleEmP9Elf64_Dyn
0x0000007100000300,M,000988,_ZN2nn2ro6detail10InitializeEmP9Elf64_Dyn
0x00000071000006e0,M,000960,_ZN2nn2ro6detail8RoModule10InitializeEmmP9Elf64_DynhPFvlmE
0x0000007100000aa0,M,000536,_ZN2nn2ro6detail16FindModuleHeaderIXadL_ZNS_3svc7aarch644lp6411QueryMemoryEPNS5_10MemoryInfoEPjmEEEEbPPKNS_5rocrt12ModuleHeaderEPNS9_13ModuleVersionEm
0x0000007100000cc0,M,000364,_ZN2nn2ro6detail8RoModule22FixRelativeRelocationsEPFvPKcE
0x0000007100000e30,O,000052,_ZN2nn2ro6detail10UnexpectedEPKc
0x0000007100000e70,M,000472,_ZNK2nn2ro6detail8RoModule12LookupSymbolEPKc
0x0000007100001050,M,000136,_ZN2nn2ro6detail16LookupGlobalAutoEPKc
0x00000071000010e0,M,000104,_ZN2nn2ro6detail17InitializeModulesEv
0x0000007100001150,M,000072,_ZN2nn2ro6detail15FinalizeModulesEv
0x00000071000011a0,O,000012,_ZN2nn2ro6detail31GetSetUserExceptionHandlerReadyEv
0x00000071000011b0,O,000012,_ZN2nn2ro6detail20GetInitializeModulesEv
0x00000071000011c0,O,000012,_ZN2nn2ro6detail18GetFinalizeModulesEv
0x00000071000011d0,M,000392,_ZN2nn2ro6detail8RoModule12BindJumpSlotEj
0x0000007100001360,O,000040,_ZN2nn2ro6detail4PutsEPKc
0x0000007100001390,O,000016,_ZN2nn2ro6detail8RoModule19InitializeSelfErrorElm
0x00000071000013a0,O,000016,_ZN2nn2ro6detail8RoModule15InitializeErrorElm
0x00000071000013b0,M,001032,_ZN2nn2ro6detail8RoModule8RelocateEbPFvvEPFmPKcEPFmPKS2_S6_EbPFvS6_EPFvS6_E
0x00000071000017c0,O,000116,_ZN2nn2ro6detail15GetRocrtVersionEm
0x0000007100001834,O,000116,_ZN2nn2ro9BindEntryEv
0x00000071000018a8,O,000028,_ZN2nn2ro6detail24SetExceptionHandlerReadyEv
0x00000071000018d0,O,000008,__nnmusl_init_dso
0x00000071000018e0,M,000272,_ZN2nn5rocrt6detail12ProtectRelroEPKvS3_S3_S3_S3_
0x00000071000019f0,O,000004,_ZN2nn5rocrt6detail15UnknownFunctionEv
0x0000007100001a00,O,000360,_init
0x0000007100001b70,O,000052,_ZN12_GLOBAL__N_112CallFunctionIXadsoPFvvEL_Z18__init_array_startEEEXadsoS2_L_Z16__init_array_endEEEEEvPS2_
0x0000007100001bb0,O,000100,_fini
0x0000007100001c20,O,000052,_ZN12_GLOBAL__N_112CallFunctionIXadsoPFvvEL_Z18__fini_array_startEEEXadsoS2_L_Z16__fini_array_endEEEEEvPS2_
0x0000007100001c60,O,000184,_ZN12_GLOBAL__N_112CallFinalizeEPvmm
0x0000007100001d18,O,000008,_ZN2nn3svc7aarch644lp6419SetMemoryPermissionEPKvmj
0x0000007100001d20,O,000008,_ZN2nn3svc7aarch644lp6418SetMemoryAttributeEPKvmjj
0x0000007100001d28,O,000024,_ZN2nn3svc7aarch644lp6411QueryMemoryEPNS2_10MemoryInfoEPjm
0x0000007100001d40,O,000008,_ZN2nn3svc7aarch644lp645BreakEjmm
0x0000007100001d48,O,000008,_ZN2nn3svc7aarch644lp6417OutputDebugStringEPKcm
0x0000007100001d50,O,000008,_ZN2nn3svc7aarch644lp6419ReturnFromExceptionEj
0x0000007100001d60,O,000004,memcpy
0x0000007100001d70,O,000204,memset
0x0000007100001e40,O,000260,strlen
0x0000007100001f80,O,000556,__memcpy_aarch64
0x00000071000021c0,O,000204,strcmp
